ram: set wl 32
ram: set size 64
ram: set size 4096
ram: set wl 32
ram: set size 32
ram: set wl 32
Profile Cycle             278:             647 evals,             365 toggles,            6037 zeroes,             345 ones
[278] 11 4
Profile Cycle             279:             607 evals,             175 toggles,            5906 zeroes,             244 ones
Profile Cycle             280:             621 evals,             146 toggles,            5890 zeroes,             277 ones
Profile Cycle             281:             608 evals,             155 toggles,            5831 zeroes,             214 ones
Profile Cycle             282:             669 evals,             122 toggles,            5804 zeroes,             190 ones
Profile Cycle             283:             602 evals,             156 toggles,            5676 zeroes,             310 ones
Profile Cycle             284:             658 evals,             124 toggles,            5606 zeroes,             357 ones
Profile Cycle             285:             658 evals,              52 toggles,            5654 zeroes,             399 ones
Profile Cycle             286:             644 evals,              81 toggles,            5578 zeroes,             337 ones
Profile Cycle             287:             635 evals,              30 toggles,            5487 zeroes,             329 ones
Profile Cycle             288:             636 evals,               8 toggles,            5491 zeroes,             326 ones
Profile Cycle             289:             637 evals,              17 toggles,            5494 zeroes,             325 ones
Profile Cycle             290:             653 evals,              47 toggles,            5594 zeroes,             363 ones
Profile Cycle             291:             649 evals,             162 toggles,            5597 zeroes,             412 ones
Profile Cycle             292:             621 evals,             192 toggles,            5913 zeroes,             257 ones
Profile Cycle             293:             648 evals,             101 toggles,            6083 zeroes,             172 ones
Profile Cycle             294:             669 evals,              65 toggles,            5807 zeroes,             187 ones
Profile Cycle             295:             608 evals,              88 toggles,            5811 zeroes,             201 ones
Profile Cycle             296:             629 evals,             107 toggles,            5831 zeroes,             231 ones
Profile Cycle             297:             669 evals,             145 toggles,            5771 zeroes,             223 ones
Profile Cycle             298:             666 evals,             196 toggles,            5794 zeroes,             432 ones
Profile Cycle             299:             681 evals,             179 toggles,            5906 zeroes,             429 ones
Profile Cycle             300:             634 evals,             227 toggles,            5735 zeroes,             573 ones
Profile Cycle             301:             626 evals,             405 toggles,            5988 zeroes,             377 ones
[301] 12 6
Profile Cycle             302:             607 evals,             213 toggles,            5893 zeroes,             257 ones
Profile Cycle             303:             621 evals,             151 toggles,            5886 zeroes,             281 ones
Profile Cycle             304:             629 evals,             155 toggles,            5854 zeroes,             208 ones
Profile Cycle             305:             669 evals,             104 toggles,            5793 zeroes,             201 ones
Profile Cycle             306:             602 evals,             172 toggles,            5636 zeroes,             350 ones
Profile Cycle             307:             658 evals,             145 toggles,            5574 zeroes,             389 ones
Profile Cycle             308:             658 evals,              52 toggles,            5610 zeroes,             443 ones
Profile Cycle             309:             644 evals,             101 toggles,            5552 zeroes,             363 ones
Profile Cycle             310:             635 evals,              28 toggles,            5458 zeroes,             358 ones
Profile Cycle             311:             615 evals,              32 toggles,            5450 zeroes,             350 ones
Profile Cycle             312:             637 evals,              30 toggles,            5468 zeroes,             351 ones
Profile Cycle             313:             653 evals,              52 toggles,            5571 zeroes,             386 ones
Profile Cycle             314:             670 evals,             163 toggles,            5613 zeroes,             413 ones
Profile Cycle             315:             621 evals,             175 toggles,            5900 zeroes,             270 ones
Profile Cycle             316:             648 evals,             102 toggles,            6075 zeroes,             180 ones
Profile Cycle             317:             669 evals,              68 toggles,            5802 zeroes,             192 ones
Profile Cycle             318:             608 evals,              82 toggles,            5800 zeroes,             212 ones
Profile Cycle             319:             629 evals,             116 toggles,            5829 zeroes,             233 ones
Profile Cycle             320:             669 evals,             142 toggles,            5766 zeroes,             228 ones
Profile Cycle             321:             645 evals,             232 toggles,            5750 zeroes,             459 ones
Profile Cycle             322:             681 evals,             339 toggles,            5758 zeroes,             577 ones
Profile Cycle             323:             634 evals,             272 toggles,            5495 zeroes,             813 ones
Profile Cycle             324:             647 evals,             500 toggles,            5802 zeroes,             580 ones
[324] 13 7
Profile Cycle             325:             607 evals,             229 toggles,            5716 zeroes,             434 ones
Profile Cycle             326:             621 evals,             139 toggles,            5723 zeroes,             444 ones
Profile Cycle             327:             629 evals,             165 toggles,            5702 zeroes,             360 ones
Profile Cycle             328:             669 evals,              98 toggles,            5635 zeroes,             359 ones
Profile Cycle             329:             602 evals,             184 toggles,            5487 zeroes,             499 ones
Profile Cycle             330:             658 evals,             127 toggles,            5422 zeroes,             541 ones
Profile Cycle             331:             637 evals,              64 toggles,            5443 zeroes,             593 ones
Profile Cycle             332:             644 evals,             120 toggles,            5400 zeroes,             515 ones
Profile Cycle             333:             635 evals,              31 toggles,            5309 zeroes,             507 ones
Profile Cycle             334:             636 evals,               8 toggles,            5313 zeroes,             504 ones
Profile Cycle             335:             637 evals,              14 toggles,            5313 zeroes,             506 ones
Profile Cycle             336:             653 evals,              49 toggles,            5413 zeroes,             544 ones
Profile Cycle             337:             670 evals,             166 toggles,            5458 zeroes,             568 ones
Profile Cycle             338:             621 evals,             173 toggles,            5742 zeroes,             428 ones
Profile Cycle             339:             648 evals,             115 toggles,            5926 zeroes,             329 ones
Profile Cycle             340:             669 evals,              65 toggles,            5650 zeroes,             344 ones
Profile Cycle             341:             587 evals,              91 toggles,            5630 zeroes,             365 ones
Profile Cycle             342:             629 evals,             120 toggles,            5681 zeroes,             381 ones
Profile Cycle             343:             669 evals,             145 toggles,            5621 zeroes,             373 ones
Profile Cycle             344:             666 evals,             233 toggles,            5620 zeroes,             606 ones
Profile Cycle             345:             681 evals,             214 toggles,            5762 zeroes,             573 ones
Profile Cycle             346:             634 evals,             218 toggles,            5610 zeroes,             698 ones
Profile Cycle             347:             647 evals,             335 toggles,            5880 zeroes,             502 ones
[347] 14 9
Profile Cycle             348:             607 evals,             161 toggles,            5737 zeroes,             413 ones
Profile Cycle             349:             621 evals,             152 toggles,            5716 zeroes,             451 ones
Profile Cycle             350:             629 evals,             169 toggles,            5706 zeroes,             356 ones
Profile Cycle             351:             648 evals,             114 toggles,            5624 zeroes,             353 ones
Profile Cycle             352:             602 evals,             221 toggles,            5461 zeroes,             525 ones
Profile Cycle             353:             658 evals,             149 toggles,            5404 zeroes,             559 ones
Profile Cycle             354:             658 evals,              58 toggles,            5434 zeroes,             619 ones
Profile Cycle             355:             644 evals,             111 toggles,            5382 zeroes,             533 ones
Profile Cycle             356:             635 evals,              29 toggles,            5288 zeroes,             528 ones
Profile Cycle             357:             636 evals,              11 toggles,            5295 zeroes,             522 ones
Profile Cycle             358:             637 evals,               8 toggles,            5289 zeroes,             530 ones
